"mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","speed_lim","ticket_amount"
16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",70,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",70,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",70,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",70,0
15.2,8,275.8,229,3.07,18,0,0,3,3,3399,"car_type_14",70,1140
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",70,0
19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",70,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",70,0
22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",70,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",70,0
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",70,0
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",70,988
15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",70,1003
14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",70,0
17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",70,0
18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",70,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",70,1173
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",70,0
18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",70,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",70,0
14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",70,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",70,0
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",70,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",70,0
21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",70,858
18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",70,1016
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",70,0
15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",70,0
15,8,301,392,3.54,14.6,0,1,5,8,3068,"car_type_31",70,939
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",70,0
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",70,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",70,955
21.4,6,258,150,3.08,19.44,1,0,3,1,2741,"car_type_4",70,1332
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",70,0
26,4,120.3,104,4.43,16.7,0,1,5,2,1876,"car_type_27",70,889
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",70,1159
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",70,0
26,4,120.3,115,4.43,16.7,0,1,5,2,1879,"car_type_27",70,1117
10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",70,0
22.8,4,108,113,3.85,18.61,1,1,4,1,2093,"car_type_3",70,0
24.4,4,146.7,75,3.69,20,1,0,4,2,2911,"car_type_8",70,1023
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",70,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",70,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",70,0
14.7,8,440,291,3.23,17.42,0,0,3,4,4601,"car_type_17",70,1127
21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",70,0
21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",70,0
30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",70,0
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",70,0
21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",70,0
15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",70,856
33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",70,0
15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",70,0
24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",70,0
16.4,8,275.8,232,3.07,17.4,0,0,3,3,3940,"car_type_12",70,0
15.8,8,351,340,4.22,14.5,0,1,5,4,2606,"car_type_29",70,1175
21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",70,0
19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",70,0
19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",70,0
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",70,1114
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",70,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",70,0
17.8,6,167.6,145,3.92,18.9,1,0,4,4,2877,"car_type_11",70,963
30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",70,1241
15.8,8,351,321,4.22,14.5,0,1,5,4,3002,"car_type_29",70,0
33.9,4,71.1,82,4.22,19.9,1,1,4,1,1555,"car_type_20",70,1119
27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",70,0
26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",70,0
32.4,4,78.7,77,4.08,19.47,1,1,4,1,1708,"car_type_18",70,940
