"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"42",1278,"Pennsylvania",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"42",1278,"Pennsylvania",13.3,8,350,309,3.73,15.41,0,0,3,4,3166,"car_type_24",TRUE,65,0
"42",1278,"Pennsylvania",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"42",1278,"Pennsylvania",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,65,0
"42",1278,"Pennsylvania",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"42",1278,"Pennsylvania",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,65,900
"42",1278,"Pennsylvania",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,65,0
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,0
"42",1278,"Pennsylvania",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,0
"42",1278,"Pennsylvania",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"42",1278,"Pennsylvania",27.3,4,79,76,4.08,18.9,1,1,4,1,1776,"car_type_26",TRUE,65,0
"42",1278,"Pennsylvania",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,65,0
"42",1278,"Pennsylvania",26,4,120.3,109,4.43,16.7,0,1,5,2,1903,"car_type_27",TRUE,65,0
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,957
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,1095
"42",1278,"Pennsylvania",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,65,0
"42",1278,"Pennsylvania",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"42",1278,"Pennsylvania",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"42",1278,"Pennsylvania",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"42",1278,"Pennsylvania",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,65,0
"42",1278,"Pennsylvania",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,65,0
"42",1278,"Pennsylvania",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"42",1278,"Pennsylvania",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,65,0
"42",1278,"Pennsylvania",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,65,1045
"42",1278,"Pennsylvania",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,0
"42",1278,"Pennsylvania",14.3,8,360,275,3.21,15.84,0,0,3,4,2946,"car_type_7",TRUE,65,0
"42",1278,"Pennsylvania",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"42",1278,"Pennsylvania",22.8,4,140.8,95,3.92,22.9,1,0,4,2,3150,"car_type_9",FALSE,65,0
"42",1278,"Pennsylvania",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,65,0
"42",1278,"Pennsylvania",30.4,4,75.7,60,4.93,18.52,1,1,4,2,1500,"car_type_19",TRUE,65,0
"42",1278,"Pennsylvania",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,65,994
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,0
"42",1278,"Pennsylvania",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,65,0
"42",1278,"Pennsylvania",22.8,4,108,93,3.85,18.61,1,1,4,1,2320,"car_type_3",FALSE,65,0
"42",1278,"Pennsylvania",15,8,301,413,3.54,14.6,0,1,5,8,3296,"car_type_31",TRUE,65,1067
"42",1278,"Pennsylvania",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,65,0
"42",1278,"Pennsylvania",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,65,0
"42",1278,"Pennsylvania",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,65,0
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,0
"42",1278,"Pennsylvania",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,65,0
"42",1278,"Pennsylvania",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,65,0
"42",1278,"Pennsylvania",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,65,0
"42",1278,"Pennsylvania",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"42",1278,"Pennsylvania",15.8,8,351,335,4.22,14.5,0,1,5,4,2756,"car_type_29",TRUE,65,1136
"42",1278,"Pennsylvania",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,65,0
"42",1278,"Pennsylvania",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,65,0
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,906
"42",1278,"Pennsylvania",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,65,0
"42",1278,"Pennsylvania",19.2,6,167.6,142,3.92,18.3,1,0,4,4,2950,"car_type_10",TRUE,65,0
"42",1278,"Pennsylvania",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,65,0
"42",1278,"Pennsylvania",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,65,0
"42",1278,"Pennsylvania",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,0
"42",1278,"Pennsylvania",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"42",1278,"Pennsylvania",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,65,881
"42",1278,"Pennsylvania",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"42",1278,"Pennsylvania",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,65,0
"42",1278,"Pennsylvania",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,65,0
"42",1278,"Pennsylvania",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,65,0
"42",1278,"Pennsylvania",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"42",1278,"Pennsylvania",18.1,6,225,105,2.76,20.22,1,0,3,1,3460,"car_type_6",FALSE,65,0
"42",1278,"Pennsylvania",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,65,0
"42",1278,"Pennsylvania",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"42",1278,"Pennsylvania",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,65,1080
"42",1278,"Pennsylvania",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"42",1278,"Pennsylvania",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"42",1278,"Pennsylvania",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,65,1126
"42",1278,"Pennsylvania",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,65,0
"42",1278,"Pennsylvania",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"42",1278,"Pennsylvania",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,65,0
"42",1278,"Pennsylvania",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"42",1278,"Pennsylvania",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"42",1278,"Pennsylvania",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"42",1278,"Pennsylvania",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"42",1278,"Pennsylvania",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,65,0
"42",1278,"Pennsylvania",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,65,989
"42",1278,"Pennsylvania",13.3,8,350,296,3.73,15.41,0,0,3,4,3261,"car_type_24",TRUE,65,0
"42",1278,"Pennsylvania",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,65,0
"42",1278,"Pennsylvania",33.9,4,71.1,65,4.22,19.9,1,1,4,1,1835,"car_type_20",FALSE,65,0
"42",1278,"Pennsylvania",15.2,8,275.8,180,3.07,18,0,0,3,3,3780,"car_type_14",FALSE,65,0
"42",1278,"Pennsylvania",19.2,6,167.6,123,3.92,18.3,1,0,4,4,3440,"car_type_10",FALSE,65,0
"42",1278,"Pennsylvania",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,65,0
"42",1278,"Pennsylvania",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,65,0
"42",1278,"Pennsylvania",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,65,0
"42",1278,"Pennsylvania",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,65,0
"42",1278,"Pennsylvania",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,65,0
"42",1278,"Pennsylvania",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,65,0
"42",1278,"Pennsylvania",14.3,8,360,245,3.21,15.84,0,0,3,4,3570,"car_type_7",FALSE,65,1002
